domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,A,Base16,846358.044989708,846358.045012291,846358.045012458,846358.047463041,2.2583059035241604e-05,0.0024505830369889736,0.002473333035595715
example.com,A,Base32,846358.047673666,846358.047756083,846358.047756166,846358.049476666,8.241692557930946e-05,0.0017205000622197986,0.0018029999919235706
example.com,A,Base64,846358.049550833,846358.049559541,846358.049559583,846358.05154175,8.708098903298378e-06,0.0019821670139208436,0.0019909170223399997
example.com,A,Base85,846358.051614166,846358.052021166,846358.05202125,846358.053628833,0.0004069999558851123,0.0016075830208137631,0.0020146670285612345
example.com,A,Base91,846358.053695208,846358.053713875,846358.053713958,846358.055329125,1.8666964024305344e-05,0.0016151670133695006,0.0016339169815182686
example.com,A,Binary,846358.055390375,846358.055405625,846358.055405708,846358.057009416,1.525005791336298e-05,0.0016037080204114318,0.0016190410824492574
example.com,A,Hexadecimal,846358.05706725,846358.057073666,846358.05707375,846358.058663125,6.4159976318478584e-06,0.0015893750824034214,0.0015958750154823065
example.com,A,NetBios,846358.058736458,846358.058741541,846358.058741625,846358.060806166,5.083042196929455e-06,0.002064540982246399,0.0020697080763056874
example.com,A,DecimalEncoding,846358.060874208,846358.060885333,846358.060885375,846358.062442875,1.1124997399747372e-05,0.0015574999852105975,0.0015686670085415244
example.com,A,ROT13,846358.062503416,846358.062514458,846358.0625145,846358.064264291,1.1041993275284767e-05,0.0017497909720987082,0.0017608749913051724
example.com,A,URL,846358.064413333,846358.068312458,846358.068312541,846358.070252,0.003899125033058226,0.0019394590053707361,0.005838667042553425
example.com,A,ALL,846358.070398916,846358.070766208,846358.07076625,846358.072826916,0.0003672919701784849,0.0020606659818440676,0.002427999977953732
example.com,AAAA,Base16,846358.072925333,846358.072931916,846358.072931958,846358.07487975,6.582937203347683e-06,0.0019477920141071081,0.0019544169772416353
example.com,AAAA,Base32,846358.075021291,846358.075043583,846358.075043666,846358.076902375,2.2292020730674267e-05,0.0018587090307846665,0.0018810839392244816
example.com,AAAA,Base64,846358.076972,846358.076978416,846358.0769785,846358.079025083,6.4159976318478584e-06,0.0020465829875320196,0.0020530830370262265
example.com,AAAA,Base85,846358.079087916,846358.079105625,846358.079105708,846358.080711875,1.7709098756313324e-05,0.0016061669448390603,0.0016239590477198362
example.com,AAAA,Base91,846358.080771708,846358.080784791,846358.080784875,846358.082369208,1.3082986697554588e-05,0.001584333018399775,0.0015974999405443668
example.com,AAAA,Binary,846358.0824305,846358.082443666,846358.082443708,846358.084059041,1.3165990822017193e-05,0.0016153330216184258,0.0016285410383716226
example.com,AAAA,Hexadecimal,846358.084117791,846358.084123166,846358.084123208,846358.085963958,5.375011824071407e-06,0.0018407499883323908,0.0018461669096723199
example.com,AAAA,NetBios,846358.086044541,846358.086050625,846358.086050708,846358.088129375,6.08398113399744e-06,0.002078667050227523,0.002084834035485983
example.com,AAAA,DecimalEncoding,846358.088193083,846358.088203333,846358.088203416,846358.089901416,1.025001984089613e-05,0.0016980000073090196,0.0017083330312743783
example.com,AAAA,ROT13,846358.089964125,846358.08997725,846358.089977333,846358.091798,1.3125012628734112e-05,0.0018206670647487044,0.0018338750815019011
example.com,AAAA,URL,846358.091871166,846358.091888041,846358.091888125,846358.093601833,1.6874982975423336e-05,0.0017137079266831279,0.0017306669615209103
example.com,AAAA,ALL,846358.093689791,846358.094047875,846358.094048,846358.096220791,0.0003580839838832617,0.0021727909334003925,0.0025309999473392963
example.com,A,Base16,846358.096290666,846358.096296208,846358.096296291,846358.101184958,5.541951395571232e-06,0.0048886670265346766,0.00489429198205471
example.com,A,Base32,846358.101294333,846358.101320416,846358.101320458,846358.103012833,2.6082969270646572e-05,0.0016923750517889857,0.0017185000469908118
example.com,A,Base64,846358.103172125,846358.103180166,846358.10318025,846358.104890875,8.041039109230042e-06,0.001710625016130507,0.001718750107102096
example.com,A,Base85,846358.104964666,846358.104984125,846358.10498425,846358.107017041,1.9459053874015808e-05,0.002032790915109217,0.002052374999038875
example.com,A,Base91,846358.107120833,846358.107139333,846358.107139416,846358.109565375,1.850002445280552e-05,0.002425958984531462,0.0024445420131087303
example.com,A,Binary,846358.109654708,846358.109672125,846358.10967225,846358.112070375,1.7417012713849545e-05,0.0023981250124052167,0.0024156670551747084
example.com,A,Hexadecimal,846358.112149541,846358.112158625,846358.112158666,846358.113797541,9.08400397747755e-06,0.001638874993659556,0.0016479999758303165
example.com,A,NetBios,846358.113860833,846358.11386575,846358.113865833,846358.115465375,4.917033948004246e-06,0.001599541981704533,0.001604542019777
example.com,A,DecimalEncoding,846358.115525958,846358.115534875,846358.115534958,846358.117137416,8.916947990655899e-06,0.001602458069100976,0.0016114580212160945
example.com,A,ROT13,846358.117204666,846358.117214791,846358.117214833,846358.118939375,1.0124989785254002e-05,0.0017245420021936297,0.0017347090179100633
example.com,A,URL,846358.119017166,846358.119030083,846358.119030125,846358.121155,1.291697844862938e-05,0.0021248749690130353,0.002137833973392844
example.com,A,ALL,846358.121230208,846358.121556208,846358.121556291,846358.123514875,0.00032600003760308027,0.0019585839472711086,0.0022846669889986515
example.com,AAAA,Base16,846358.123589583,846358.123594541,846358.123594625,846358.125198,4.958012141287327e-06,0.001603374956175685,0.0016084170201793313
example.com,AAAA,Base32,846358.125264291,846358.125278833,846358.125278875,846358.126876083,1.4542019926011562e-05,0.0015972079709172249,0.001611792016774416
example.com,AAAA,Base64,846358.126938291,846358.126943541,846358.126943583,846358.128529708,5.249981768429279e-06,0.001586124999448657,0.0015914170071482658
example.com,AAAA,Base85,846358.128594125,846358.128608375,846358.1286085,846358.130651041,1.4249933883547783e-05,0.0020425410475581884,0.0020569160114973783
example.com,AAAA,Base91,846358.130715666,846358.130743875,846358.130744041,846358.132725166,2.8209062293171883e-05,0.0019811250967904925,0.002009500050917268
example.com,AAAA,Binary,846358.132963625,846358.13298875,846358.132988791,846358.13478025,2.5124987587332726e-05,0.0017914590425789356,0.0018166250083595514
example.com,AAAA,Hexadecimal,846358.134863416,846358.1348715,846358.134871541,846358.136459541,8.08399636298418e-06,0.0015879999846220016,0.0015961250755935907
example.com,AAAA,NetBios,846358.136527708,846358.136532916,846358.136532958,846358.138149291,5.207955837249756e-06,0.0016163330292329192,0.0016215830110013485
example.com,AAAA,DecimalEncoding,846358.138218416,846358.138228333,846358.138228375,846358.139839333,9.916955605149269e-06,0.0016109580174088478,0.0016209169989451766
example.com,AAAA,ROT13,846358.139931666,846358.139943083,846358.139943166,846358.142430083,1.1417083442211151e-05,0.002486916957423091,0.0024984170449897647
example.com,AAAA,URL,846358.1425165,846358.142532458,846358.1425325,846358.144113708,1.595797948539257e-05,0.0015812080819159746,0.0015972080873325467
