domain,record_type,encoding_type,encodePacketStart,encodePacketEnd,dnsResStart,dnsResEnd,encode_duration,dns_resolution_duration,total_duration
example.com,A,Base16,840851.621135166,840851.621157166,840851.621157291,840851.623695041,2.1999934688210487e-05,0.0025377500569447875,0.00255987502168864
example.com,A,Base32,840851.623902083,840851.623988375,840851.6239885,840851.626658875,8.629192598164082e-05,0.0026703750481829047,0.0027567920042201877
example.com,A,Base64,840851.626746458,840851.626757541,840851.626757583,840851.628843625,1.1082971468567848e-05,0.002086041960865259,0.0020971669582650065
example.com,A,Base85,840851.628917083,840851.629268333,840851.629268375,840851.631113708,0.0003512499388307333,0.0018453330267220736,0.0021966249914839864
example.com,A,Base91,840851.63120575,840851.631226375,840851.631226458,840851.633039166,2.062495332211256e-05,0.0018127079820260406,0.0018334159394726157
example.com,A,Binary,840851.633129916,840851.633150375,840851.633150458,840851.636078875,2.045894507318735e-05,0.0029284170595929027,0.0029489590087905526
example.com,A,Hexadecimal,840851.636189083,840851.636202833,840851.636202875,840851.638066291,1.3750046491622925e-05,0.001863416051492095,0.0018772080074995756
example.com,A,NetBios,840851.638169458,840851.638177833,840851.638177916,840851.639831,8.375034667551517e-06,0.0016530840657651424,0.0016615419881418347
example.com,A,DecimalEncoding,840851.6399055,840851.639920666,840851.639920708,840851.641530083,1.5166006051003933e-05,0.0016093750018626451,0.0016245830338448286
example.com,A,ROT13,840851.641595375,840851.641607125,840851.641607208,840851.643338,1.1750031262636185e-05,0.0017307921079918742,0.0017426250269636512
example.com,A,URL,840851.643418,840851.646691791,840851.646691875,840851.648434333,0.0032737910514697433,0.0017424580873921514,0.005016333074308932
example.com,A,ALL,840851.648517083,840851.648858166,840851.64885825,840851.650842583,0.0003410829231142998,0.0019843330373987556,0.0023255000123754144
example.com,AAAA,Base16,840851.650908333,840851.650913958,840851.650914041,840851.653048708,5.624955520033836e-06,0.0021346670109778643,0.0021403749706223607
example.com,AAAA,Base32,840851.65314625,840851.653170958,840851.653171041,840851.655207583,2.4707987904548645e-05,0.002036541933193803,0.002061332925222814
example.com,AAAA,Base64,840851.655275625,840851.65528225,840851.655282333,840851.656891,6.625079549849033e-06,0.0016086669638752937,0.0016153750475496054
example.com,AAAA,Base85,840851.656953291,840851.656970916,840851.656971,840851.65855975,1.762493047863245e-05,0.0015887499321252108,0.0016064589144662023
example.com,AAAA,Base91,840851.658619083,840851.658632791,840851.658632875,840851.660222166,1.3708020560443401e-05,0.0015892910305410624,0.001603082986548543
example.com,AAAA,Binary,840851.660285125,840851.660299916,840851.6603,840851.661917791,1.4791032299399376e-05,0.0016177910147234797,0.0016326659824699163
example.com,AAAA,Hexadecimal,840851.661980083,840851.661986,840851.661986083,840851.663973666,5.917041562497616e-06,0.001987583003938198,0.0019935830496251583
example.com,AAAA,NetBios,840851.664028083,840851.664032541,840851.664032625,840851.665569916,4.458008334040642e-06,0.0015372909838333726,0.0015418330440297723
example.com,AAAA,DecimalEncoding,840851.665623541,840851.665632458,840851.665632541,840851.667192208,8.917064405977726e-06,0.001559667056426406,0.0015686670085415244
example.com,AAAA,ROT13,840851.667250333,840851.667260666,840851.66726075,840851.668821041,1.0333023965358734e-05,0.0015602910425513983,0.0015707080019637942
example.com,AAAA,URL,840851.668874875,840851.668885666,840851.668885708,840851.670438333,1.0791001841425896e-05,0.0015526249771937728,0.0015634580049663782
example.com,AAAA,ALL,840851.670492583,840851.670817208,840851.670817291,840851.674744666,0.00032462505623698235,0.003927374957129359,0.004252083017490804
example.com,A,Base16,840851.674814708,840851.674820416,840851.6748205,840851.676397041,5.708076059818268e-06,0.0015765409916639328,0.0015823330031707883
example.com,A,Base32,840851.676458208,840851.676470666,840851.67647075,840851.678008291,1.2457952834665775e-05,0.0015375410439446568,0.0015500830486416817
example.com,A,Base64,840851.678137041,840851.678142625,840851.678142708,840851.679700541,5.583977326750755e-06,0.0015578329330310225,0.001563499914482236
example.com,A,Base85,840851.679759458,840851.67977225,840851.679772375,840851.68132475,1.2791948392987251e-05,0.0015523749170824885,0.001565291895531118
example.com,A,Base91,840851.68138125,840851.681393125,840851.681393208,840851.68340975,1.1874944902956486e-05,0.002016542013734579,0.002028499962761998
example.com,A,Binary,840851.683469166,840851.683480333,840851.683480416,840851.685023458,1.1166906915605068e-05,0.001543042017146945,0.0015542919281870127
example.com,A,Hexadecimal,840851.685082166,840851.685087125,840851.685087208,840851.686611875,4.959059879183769e-06,0.0015246669063344598,0.0015297089703381062
example.com,A,NetBios,840851.686672541,840851.686676666,840851.686676708,840851.688205291,4.125060513615608e-06,0.001528583001345396,0.0015327500877901912
example.com,A,DecimalEncoding,840851.688262666,840851.688270916,840851.688271,840851.689830208,8.25000461190939e-06,0.0015592079143971205,0.001567541970871389
example.com,A,ROT13,840851.689886416,840851.689895375,840851.689895458,840851.691931541,8.95909033715725e-06,0.0020360829075798392,0.002045125002041459
example.com,A,URL,840851.691989875,840851.691999291,840851.691999333,840851.6935295,9.415904060006142e-06,0.0015301670646294951,0.0015396249946206808
example.com,A,ALL,840851.693587833,840851.693920958,840851.693921041,840851.695880125,0.00033312500454485416,0.001959084067493677,0.002292292076162994
example.com,AAAA,Base16,840851.69594575,840851.695950958,840851.695951,840851.697534958,5.207955837249756e-06,0.0015839580446481705,0.0015892080264165998
example.com,AAAA,Base32,840851.697595583,840851.697609458,840851.6976095,840851.6991995,1.3874960131943226e-05,0.0015899999998509884,0.0016039169859141111
example.com,AAAA,Base64,840851.699264666,840851.699269791,840851.699269833,840851.701294958,5.125068128108978e-06,0.0020251249661669135,0.002030292060226202
example.com,AAAA,Base85,840851.701362791,840851.701375625,840851.701375708,840851.702921666,1.2833974324166775e-05,0.001545957988128066,0.0015588749665766954
example.com,AAAA,Base91,840851.702978666,840851.702990208,840851.702990291,840851.704551,1.1541997082531452e-05,0.001560708973556757,0.001572333974763751
example.com,AAAA,Binary,840851.704616416,840851.704628416,840851.7046285,840851.706167625,1.1999974958598614e-05,0.0015391249908134341,0.0015512090176343918
example.com,AAAA,Hexadecimal,840851.706223125,840851.706228375,840851.706228458,840851.707750458,5.249981768429279e-06,0.0015220000641420484,0.0015273330500349402
